RestaurantName,ZipCode,InspectionDate,Score,Address,FacilityID,ProcessDescription
183 Grill Austin Gyros,78729,01/28/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,04/10/2017,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,08/08/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,10/09/2017,96,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
6M Grocery,78652,04/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,05/02/2016,88,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,05/25/2017,86,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/21/2015,87,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/24/2016,85,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,11/20/2017,92,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
7 Eleven # 32248,78717,01/17/2018,94,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,02/08/2016,80,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,07/08/2016,95,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,07/17/2017,92,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,08/12/2015,93,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,12/15/2016,90,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven #36575,78660,01/23/2017,96,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,01/25/2016,92,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,03/05/2015,86,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
